id,ignored,name,country,category,turns,length_km
4048000896,False,Nürburgring Müllenbach,Germany,circuit,8,1.48
697498609,False,Nürburgring Nordschleife,Germany,circuit,73,20.83
1459212514,True,Nürburgring Nordschleife Stage 1,Germany,point to point,36,6.9
3994580005,True,Nürburgring Nordschleife Stage 2,Germany,point to point,33,5.96
1128950148,True,Nürburgring Nordschleife Stage 3,Germany,point to point,44,7.87
3585230195,False,Nürburgring Sprint,Germany,circuit,11,3.62
3484251453,False,Nürburgring Sprint Short,Germany,circuit,9,3.06
3100781576,False,Oschersleben A Course,Germany,circuit,16,3.66
816601966,False,Oschersleben B Course,Germany,circuit,8,2.43
2935667702,False,Oschersleben C Course,Germany,circuit,8,1.1
2273942801,False,Oulton Park Fosters,United Kingdom,circuit,6,2.65
545979690,False,Oulton Park International,United Kingdom,circuit,17,4.3
2417267773,False,Oulton Park Island,United Kingdom,circuit,7,3.61
1371913179,True,Pista di Fiorano,Italy,circuit,0,0
4189064524,False,Porsche Leipzig Dynamic Circuit,Germany,circuit,12,2.25
4136123652,False,Porsche Leipzig Full Circuit,Germany,circuit,15,3.7
169281142,False,Porsche Leipzig Short Circuit,Germany,circuit,12,2.2
3696088069,True,Rallycross of Loheac,France,circuit,9,1.08
4221780682,False,Red Bull Ring Club,Austria,circuit,5,1.83
2361713765,False,Red Bull Ring GP,Austria,circuit,10,4.32
2280743555,False,Red Bull Ring National,Austria,circuit,6,2.33
3634666530,False,Road America,USA,circuit,14,6.51
3263717367,False,Rouen Les Essarts,France,circuit,12,6.54
2779493388,False,Rouen Les Essarts Short,France,circuit,13,5.1
619694160,False,Ruapuna Park A Circuit,New Zealand,circuit,6,1.19
2248334206,False,Ruapuna Park B Circuit,New Zealand,circuit,7,1.6
1446378877,False,Ruapuna Park Club,New Zealand,circuit,9,2.28
1277693448,False,Ruapuna Park GP,New Zealand,circuit,12,3.28
1940584155,False,Ruapuna Park Outer Loop,New Zealand,circuit,6,1.35
2535224250,False,Sakitto GP,Japan,circuit,15,5.38
2820797104,False,Sakitto International,Japan,circuit,12,2.84
3034141030,False,Sakitto National,Japan,circuit,12,3.1
3415685177,False,Sakitto Sprint,Japan,circuit,14,3.53
3471919275,True,Sampala Ice Circuit,Canada,circuit,4,4.9
3100676468,False,Silverstone Classic GP,United Kingdom,circuit,18,4.7
1641471184,False,Silverstone GP,United Kingdom,circuit,18,5.89
1101719627,False,Silverstone International,United Kingdom,circuit,10,3.61
1952936927,False,Silverstone National,United Kingdom,circuit,6,2.63
1600840139,False,Silverstone Stowe,United Kingdom,circuit,5,1.28
3427627286,False,Snetterton 100,United Kingdom,circuit,6,1.58
1058872832,False,Snetterton 200,United Kingdom,circuit,8,3.22
1508903068,False,Snetterton 300,United Kingdom,circuit,13,4.77
2840687665,False,Sonoma Raceway GP,USA,circuit,19,4.05
3299764567,False,Sonoma Raceway National,USA,circuit,17,3.7
1035110721,False,Sonoma Raceway Short,USA,circuit,15,3.13
3270746104,False,Sportsland SUGO,Japan,circuit,9,3.9
4250218976,True,Summerton International,USA,kart,11,0.99
1408845203,True,Summerton National,USA,kart,7,0.82
